/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'right', None, None)
 -- forward : 0.93
 -- right : 0.49
 -- None : -5.30
 -- left : 2.37

('left', 'green', 'forward', 'forward', 'forward')
 -- forward : 1.20
 -- right : 0.53
 -- None : -3.38
 -- left : 0.00

('left', 'green', 'forward', None, None)
 -- forward : 0.82
 -- right : 1.11
 -- None : -5.04
 -- left : 2.01

('forward', 'green', 'right', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.13
 -- left : 0.16

('forward', 'green', 'right', None, 'left')
 -- forward : 1.43
 -- right : 0.42
 -- None : 0.90
 -- left : 0.79

('right', 'green', 'left', 'forward', 'left')
 -- forward : 0.00
 -- right : 1.51
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', None, 'forward')
 -- forward : -38.71
 -- right : -18.12
 -- None : 1.91
 -- left : -35.24

('left', 'green', 'right', 'forward', None)
 -- forward : 0.02
 -- right : 0.00
 -- None : -2.79
 -- left : 1.70

('forward', 'red', 'left', 'right', None)
 -- forward : -8.49
 -- right : 0.00
 -- None : 1.98
 -- left : 0.00

('left', 'red', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.83
 -- left : 0.00

('right', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- right : 1.00
 -- None : 1.65
 -- left : -20.37

('right', 'red', 'forward', 'left', 'left')
 -- forward : -19.67
 -- right : -9.93
 -- None : 1.86
 -- left : -20.43

('left', 'green', None, 'left', 'forward')
 -- forward : 0.39
 -- right : 0.19
 -- None : -4.57
 -- left : -14.84

('forward', 'green', 'left', 'left', 'forward')
 -- forward : 1.01
 -- right : 0.00
 -- None : 0.00
 -- left : -10.05

('forward', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.59
 -- left : 0.00

('left', 'red', 'right', 'right', 'forward')
 -- forward : -7.50
 -- right : 0.84
 -- None : 0.00
 -- left : 0.00

